t, $atleast, >d, $done_percent, <ep, $learning_curve, <np, $nprod, $optimism, $pomposity, $productivity_exp, $productivity_new, $r, $to, $ts, >d, <ep, <np, $r, $nprod, $ts, $to
24, 45.77, 32.68, 66.72, 26.15, 88.6, 0.0, 0.29, 4.17, 1.0, 3.63, 0.18, 549.75, 73.35, 2.4, 68.52, 26, 0, 513.91, 0, 0.29, 100, 2.4, 0, 0, 0.37, 98.65, 73.35
28, 68.72, 36.18, 76.14, 2.63, 37.67, 0.0, 0.15, 3.61, 0.61, 5.94, 0.62, 980.44, 94.18, 6.45, 77.22, 2, 0, 939.4, 0, 0.15, 100, 6.45, 0, 0, 1.45, 18.41, 94.18
17, 94.59, 51.05, 96.5, 17.65, 89.61, 0.0, 0.97, 6.11, 0.92, 9.56, 0.35, 504.78, 48.51, 9.61, 100, 17, 0, 0, 0, 0.97, 100, 9.61, 0, 0, 49.27, 68.75, 48.51
69, 21.17, 63.22, 45.75, 26.2, 28.34, 0.0, 0.68, 1.21, 0.23, 5.19, 0.95, 503.47, 92.94, 8.46, 100, 26, 0, 0, 0, 0.68, 83.49, 8.46, 0, 0, 79.11, 13.79, 92.94
20, 93.64, 52.36, 4.79, 21.65, 6.78, 0.0, 0.6, 5.21, 0.33, 2.57, 0.37, 901.11, 72.97, 2.58, 100, 21, 0, 362.03, 0, 0.6, 100, 2.58, 0, 0, 26.67, 17.64, 72.97
19, 69.53, 8.93, 66.66, 25.42, 51.52, 0.0, 0.76, 5.5, 0.51, 7.45, 0.26, 762.09, 27.54, 1.17, 100, 25, 0, 662.09, 0, 0.76, 100, 1.17, 0, 0, 0, 100, 27.54
36, 19.0, 87.46, 8.9, 28.71, 63.47, 0.0, 0.37, 2.81, 0.18, 7.16, 0.47, 721.09, 50.69, 1.01, 100, 28, 0, 646.91, 0, 0.37, 100, 1.01, 0, 0, 0, 100, 50.69
54, 28.42, 78.17, 25.6, 24.03, 73.6, 0.0, 0.67, 1.88, 0.12, 8.86, 0.59, 749.44, 71.82, 4.12, 100, 24, 0, 0, 0, 0.67, 100, 4.12, 0, 0, 100, 3.96, 71.82
12, 84.0, 84.04, 68.77, 28.31, 86.39, 0.0, 0.93, 8.46, 0.89, 1.5, 0.71, 818.92, 75.48, 4.31, 100, 28, 0, 507.62, 0, 0.93, 100, 4.31, 0, 0, 24.75, 36.64, 75.48
16, 66.97, 71.77, 54.48, 22.16, 54.36, 0.0, 0.52, 6.47, 0.24, 7.18, 0.91, 696.34, 12.16, 9.38, 100, 22, 0, 0, 0, 0.52, 100, 9.38, 0, 0, 67.94, 17.29, 12.16
17, 14.68, 7.93, 64.63, 17.16, 77.97, 0.0, 0.6, 5.89, 0.89, 5.59, 0.3, 514.74, 63.5, 4.62, 100, 17, 0, 0, 0, 0.6, 100, 4.62, 0, 0, 46.72, 18.05, 63.5
12, 91.38, 32.67, 59.97, 16.84, 53.41, 0.0, 0.96, 8.5, 0.63, 4.75, 0.5, 409.07, 95.27, 8.02, 100, 16, 0, 0, 0, 0.96, 100, 8.02, 0, 0, 49.85, 31.67, 95.27
11, 23.61, 36.37, 94.99, 12.31, 19.73, 0.0, 0.3, 9.28, 0.39, 9.36, 0.86, 790.61, 7.55, 5.08, 100, 12, 0, 444.27, 0, 0.3, 100, 5.08, 0, 0, 31.26, 7.22, 7.55
20, 83.12, 58.87, 38.17, 27.85, 53.76, 0.0, 0.85, 5.04, 0.75, 4.82, 0.38, 431.56, 97.85, 4.22, 100, 27, 0, 0, 0, 0.85, 100, 4.22, 0, 0, 77.84, 29.63, 97.85
17, 62.62, 81.87, 99.6, 23.28, 10.02, 0.0, 0.53, 6.17, 0.34, 9.38, 0.06, 916.89, 95.45, 3.37, 100, 23, 0, 0, 0, 0.53, 100, 3.37, 0, 0, 98.97, 13.45, 95.45
11, 52.44, 70.22, 29.62, 9.69, 81.37, 0.0, 0.24, 9.67, 0.75, 6.86, 0.92, 900.36, 30.36, 9.05, 100, 9, 0, 809.38, 0, 0.24, 100, 9.05, 0, 0, 7.62, 48.6, 30.36
35, 9.54, 56.38, 1.34, 13.52, 21.59, 0.0, 0.12, 2.88, 0.15, 6.37, 0.4, 158.22, 77.94, 7.92, 100, 13, 0, 0, 0, 0.12, 100, 7.92, 0, 0, 9.22, 7.24, 77.94
18, 94.2, 86.4, 88.65, 27.97, 16.01, 0.0, 0.21, 5.66, 0.09, 8.63, 0.49, 986.79, 7.35, 7.34, 100, 27, 0, 141.48, 0, 0.21, 100, 7.34, 0, 0, 46.85, 4.26, 7.35
21, 92.41, 23.28, 51.95, 22.13, 21.39, 0.0, 0.49, 4.9, 0.36, 4.77, 0.8, 361.65, 48.63, 4.18, 100, 22, 0, 0, 0, 0.49, 100, 4.18, 0, 0, 46.18, 10.18, 48.63
69, 89.62, 43.46, 35.92, 14.7, 20.12, 0.0, 0.63, 1.38, 0.22, 7.11, 0.4, 161.62, 65.62, 1.12, 100, 14, 0, 0, 0, 0.63, 95.22, 1.12, 0, 0, 44.46, 29.1, 65.62
40, 13.96, 77.88, 30.16, 1.15, 94.76, 0.0, 0.66, 2.54, 0.11, 1.63, 0.19, 109.92, 48.28, 3.53, 100, 1, 0, 67.21, 0, 0.66, 100, 3.53, 0, 0, 1.07, 0.76, 48.28
12, 96.51, 86.91, 14.3, 3.69, 43.45, 0.0, 0.44, 8.82, 0.71, 4.95, 0.19, 419.52, 70.86, 4.26, 100, 3, 0, 346.58, 0, 0.44, 100, 4.26, 0, 0, 6.04, 7.61, 70.86
22, 83.11, 42.56, 17.03, 23.07, 89.33, 0.0, 0.59, 4.56, 0.51, 1.94, 0.32, 142.18, 15.95, 2.27, 100, 23, 0, 0, 0, 0.59, 100, 2.27, 0, 0, 14.91, 43.35, 15.95
69, 49.7, 63.86, 16.44, 15.31, 24.78, 0.0, 0.74, 1.28, 0.48, 3.69, 0.82, 625.91, 95.33, 6.94, 100, 15, 0, 0, 0, 0.74, 88.32, 6.94, 0, 0, 33.76, 17.58, 95.33
37, 41.03, 28.24, 31.86, 5.14, 99.14, 0.0, 0.42, 2.74, 0.92, 4.75, 0.97, 997.89, 95.73, 5.75, 100, 5, 0, 703.41, 0, 0.42, 100, 5.75, 0, 0, 7.9, 20.77, 95.73
28, 3.53, 19.77, 85.39, 20.02, 15.85, 0.0, 0.5, 3.67, 0.45, 6.43, 0.59, 462.59, 63.21, 6.58, 100, 20, 0, 0, 0, 0.5, 100, 6.58, 0, 0, 54.09, 15.88, 63.21
15, 30.02, 4.25, 31.79, 14.25, 51.91, 0.0, 0.92, 6.98, 0.78, 2.17, 0.8, 553.59, 95.92, 4.79, 100, 14, 0, 189.47, 0, 0.92, 100, 4.79, 0, 0, 24.01, 14.09, 95.92
18, 95.97, 69.46, 29.31, 10.8, 31.86, 0.0, 0.36, 5.72, 0.64, 8.67, 0.38, 231.8, 85.68, 3.31, 100, 10, 0, 0, 0, 0.36, 100, 3.31, 0, 0, 29.33, 6.03, 85.68
11, 99.09, 16.16, 7.93, 26.28, 88.02, 0.0, 0.46, 9.32, 0.15, 4.28, 0.1, 868.12, 81.91, 4.96, 100, 26, 0, 330.9, 0, 0.46, 100, 4.96, 0, 0, 48.6, 5.05, 81.91
23, 8.21, 86.79, 90.32, 27.84, 13.86, 0.0, 0.26, 4.49, 0.46, 6.07, 0.6, 509.57, 10.72, 3.17, 100, 27, 0, 0, 0, 0.26, 100, 3.17, 0, 0, 30.61, 28.16, 10.72
12, 73.08, 61.23, 79.1, 8.03, 91.08, 0.0, 0.32, 9.02, 0.45, 8.47, 0.73, 355.48, 82.57, 4.29, 100, 8, 0, 107.7, 0, 0.32, 100, 4.29, 0, 0, 20.55, 5.21, 82.57
69, 26.19, 60.41, 38.04, 7.75, 44.0, 0.0, 0.25, 0.42, 0.11, 3.6, 0.69, 145.0, 50.94, 3.51, 100, 7, 0, 0, 0, 0.25, 28.98, 3.51, 0, 0, 6.25, 0.8, 50.94
12, 70.78, 62.81, 2.21, 3.81, 82.41, 0.0, 0.62, 8.57, 0.48, 6.39, 0.05, 644.27, 33.61, 9.71, 100, 3, 0, 549.55, 0, 0.62, 100, 9.71, 0, 0, 7.53, 36.64, 33.61
22, 14.02, 65.5, 60.8, 18.49, 23.61, 0.0, 0.12, 4.67, 0.78, 3.7, 0.46, 315.11, 39.32, 1.08, 73.49, 18, 0, 307.12, 0, 0.12, 100, 1.08, 0, 0, 0, 100, 39.32
11, 28.53, 57.48, 25.64, 11.0, 58.1, 0.0, 0.64, 9.67, 0.11, 1.58, 0.22, 285.52, 3.18, 7.1, 100, 11, 0, 167.75, 0, 0.64, 100, 7.1, 0, 0, 10.66, 4.13, 3.18
23, 54.84, 6.68, 71.61, 11.42, 14.09, 0.0, 0.32, 4.51, 0.38, 7.7, 0.36, 765.37, 24.36, 6.89, 100, 11, 0, 221.39, 0, 0.32, 100, 6.89, 0, 0, 23.49, 13.32, 24.36
21, 76.42, 65.03, 38.54, 10.83, 68.37, 0.0, 0.33, 4.91, 0.36, 9.32, 0.3, 307.36, 33.08, 4.53, 100, 10, 0, 0, 0, 0.33, 100, 4.53, 0, 0, 29.21, 5.01, 33.08
